product_id,vendor,product,sensor_type,measures_claimed,species,country,stygar_listed,stygar_validation,icar_validated,source,marketing_url,manual_url,devdocs_url,patent_urls,comparator,notes
P001,Afimilk,AfiAct II,other,"Monitoring activity feeding, rumination, lying behaviour,  heat detection, rest, health and wellbing",dairy cattle,Israel,yes,external_independent,no,stygar,https://www.afimilk.com/cow-monitoring,,,,no,"Stygar Table 1 lists AfiAct Pedometer Plus, AfiTagII and Pedometer Plus together; refs 21 to 24 (Borchers 2016, Henriksen and Munksgaard 2019, Mattachini 2013, Swartz 2016) are all external independent validation. Leg mounted accelerometer, recorded as other because the schema has no leg tag value. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P002,Afimilk,AfiCollar,collar_accelerometer,"Heat detection, rumination, health alerts",dairy cattle,Israel,yes,none,no,stygar,https://www.afimilk.com/cow-monitoring,,,,no,"No external validation study found by Stygar. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P003,MSD Animal Health (Allflex),SenseHub Dairy,collar_accelerometer,"reproductive, health, nutritional and wellbeing status of individual cows and groups",dairy cattle,UK,yes,none,no,stygar,https://www.allflex.global/product/sensehub-dairy/,,,,no,"No external validation study found by Stygar. Stygar lists collar and ear versions. Allflex is now part of MSD Animal Health. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P004,CowManager,CowManager SensOor,ear_tag,"Feeding (rumination) and activity behaviours - lying, heat detection, location monitor, health alerts",dairy cattle,Netherlands,yes,external_independent,no,stygar,https://www.cowmanager.com/en-us/,,,,no,"Refs 21, 39, 40, 41 are external independent validation; ref 17 (Bikker 2014) is external self validation. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P005,Nedap,Nedap CowControl SmartTag Neck,collar_accelerometer,"Monitoring activity for heat detection and health, rumination and feeding times",dairy cattle,Netherlands,yes,none,no,stygar,https://www.nedap-livestockmanagement.com/dairy-farming/solutions/nedap-cowcontrol/,,,,no,"No external validation study found by Stygar. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P006,Nedap,Nedap CowControl SmartTag Leg,other,Monitoring activity for heat detection and health,dairy cattle,Netherlands,yes,none,no,stygar,https://www.nedap-livestockmanagement.com/dairy-farming/solutions/nedap-cowcontrol/,,,,no,"No external validation study found by Stygar. Leg mounted accelerometer, recorded as other. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P007,smaXtec,smaXtec premium,bolus,Measures activity and temperature in rumen,dairy cattle,Austria,yes,none,no,stygar,https://smaxtec.com/en/,,,,no,"No external validation study found by Stygar. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P008,eCow,eBolus,bolus,"Measures activity, pH, and temperature in rumen",dairy cattle,UK,yes,external_independent,no,stygar,https://ecow.co.uk/,,,,no,"Refs 50 and 51 (Neubauer 2018, Falk 2016) are external independent validation. Stygar name it eCow Farmer bolus. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P009,DeLaval,DeLaval Body Condition Scoring (BCS),camera,Automatic body condition scoring,dairy cattle,Sweden,yes,external_independent,no,stygar,http://www.delavalcorporate.com/our-products-and-services/farm-support/delaval-body-condition-scoring-bcs/,,,,no,"Ref 48 (Mullins 2019) is external independent validation. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
P010,Ever.Ag (Cainthus),Alus Nutrition,camera,"Monitors events like feed deliveries, push-ups & clean-outs (the farmer schedules it). Tracks accessibility of feed 24/7 and will highlight times when feed is inaccessible, allowing the farmer to adjust the feed management plan if necessary.",dairy cattle,Ireland,yes,none,no,stygar,https://www.cainthus.com/alus,,,,no,"No external validation study found by Stygar. Cainthus was acquired by Ever.Ag in 2022. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Validation level from Stygar Table 1 and the study types in their supplementary Table 2."
