indicator_id,efsa_consequence,efsa_abm,wq_principle,wq_criterion,wq_measure,maroto_molina_technology,maroto_molina_feasible,notes,tier
I001,Locomotory disorders,Gait assessment,Good health,Absence of injuries,Lameness,"Accelerometers, pressure mats, image analysis, multi-sensor systems combining milk, activity and posture",yes,"EFSA Table 16 defines the 3 point scale citing Welfare Quality 2009, so the join is stated by EFSA. Maroto notes sensor systems normally use a 5 point scale, finer than Welfare Quality needs",joined
I002,Locomotory disorders,Digital dermatitis,,,,Not discussed by Maroto Molina,not_covered,EFSA Table 17. Scored with the ICAR Claw Health Atlas M stages,efsa_only
I003,Locomotory disorders,Lesions of the claws,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 17. Scoring system for claw lesion types, ICAR Claw Health Atlas",efsa_only
I004,Locomotory disorders,Hock alterations,Good health,Absence of injuries,Integument alterations,No system found in the literature; computer vision for human skin problems proposed as adaptable,partial,EFSA Table 18 defines it as the 3 point scale from the Welfare Quality protocol,joined
I005,Locomotory disorders,Knee alterations,Good health,Absence of injuries,Integument alterations,No system found in the literature; computer vision for human skin problems proposed as adaptable,partial,EFSA Table 18 defines it as the 3 point scale from the Welfare Quality protocol,joined
I006,Mastitis,Clinical cases,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 27, incidence rate of clinical mastitis from veterinary or farm records",efsa_only
I007,Mastitis,Bulk milk somatic cell count,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 27, somatic cell count in the bulk tank. Not joined to the Welfare Quality milk somatic cell count (I057): EFSA cites no Welfare Quality definition, and Welfare Quality takes the count from individual cow milk records over the three months before the visit (protocol page 35). Whether to treat them as one indicator is a question for Kevin",efsa_only
I008,Restriction of movement and resting problems,Step activity,,,,Not discussed by Maroto Molina,not_covered,EFSA Table 31 rates on farm feasibility low because positioning systems are not consistently available. Maroto Molina do not discuss this measure; an earlier version put EFSA's own wording in the technology column,efsa_only
I009,Restriction of movement and resting problems,Walking distance,,,,Not discussed by Maroto Molina,not_covered,"EFSA Table 31 rates feasibility low, GPS not yet available on all farms. Maroto Molina do not discuss this measure; an earlier version put EFSA's own wording in the technology column",efsa_only
I010,Restriction of movement and resting problems,Speed,,,,Not discussed by Maroto Molina,not_covered,EFSA Table 31. Maroto Molina do not discuss this measure; an earlier version put EFSA's own wording in the technology column,efsa_only
I011,Restriction of movement and resting problems,Agonistic interactions,Good behaviour,Expression of social behaviours,Agonistic behaviours,Top view cameras with machine learning for head pressing and body pushing; proximity loggers and location systems,partial,EFSA Table 32 defines the count citing Welfare Quality 2009. Research level systems only,joined
I012,Restriction of movement and resting problems,Lying time,,,,Pedometers and accelerometers give lying time and lying bouts,yes,"EFSA Table 33, short lying time under 10 hours indoors. EFSA rates feasibility low because validated activity monitors are not widely available on farm",efsa_only
